1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.7150956768249468,0.7150956768249468,0.7146787843415183,0.715053987576604,0.7180973027056322,0.7180973027056322,0.7182223704506607,0.7180973027056322,0.7238504189769458,0.7238504189769458,0.7238921082252887,0.7238504189769458,0.7347730020427732,0.7347730020427732,0.734814691291116,0.7348980697878017,0.7411097677908868,0.7411097677908868,0.7410680785425439,0.7411514570392296,0.7418184850127152,0.7418184850127152,0.7418184850127152,0.7418184850127152,0.7419852420060866,0.7419852420060866,0.7420269312544295,0.7419852420060866,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7423604452411723,0.7423604452411723,0.7423187559928295,0.7423604452411723,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.7421936882478009,0.742151998999458,0.742151998999458,0.742151998999458,0.742151998999458
1e-05,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,1,1,1,1,2,2,2,2,5,5,5,5,10,10,10,10,15,15,15,15
newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga,newton-cg,newton-cholesky,sag,saga
