1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.6454746320923834,0.6454746320923834,0.6809521824321507,0.6763246758660941,0.6919164547463209,0.6852878642598074,0.6987534914745487,0.6926251719681494,0.7104681702588902,0.7021303205903198,0.7131362821528328,0.7056739066994622,0.7151373660732897,0.7067161379080336,0.7165131112686038,0.7089256680702047,0.717888856463918,0.7093008713052904,0.7189727769208322,0.710259724017176,0.7183057489473464,0.7106349272522616,0.7189310876724893,0.7112602659774044,0.7195981156459749,0.7117188477091758
1,1,3,3,5,5,7,7,11,11,13,13,15,15,17,17,19,19,21,21,23,23,25,25,27,27
uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance
