1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.9014677668418836,0.9014677668418836,0.8436305782159068,0.868454711359985,0.8031695028934193,0.8524512174197876,0.7798505716647689,0.8474598742805447,0.7610862410506777,0.8469919358612407,0.7577638782736192,0.8471245184133768,0.7551278251782065,0.8468281574144843,0.7506668122475082,0.8470933225187566,0.7488574503595327,0.8463212241269049,0.7467361295253545,0.8461262497855282,0.7454337009249583,0.8464226107844207,0.7449891594266195,0.8466409820467626,0.7442170610347678,0.8460326621016674
1,1,3,3,5,5,7,7,11,11,13,13,15,15,17,17,19,19,21,21,23,23,25,25,27,27
uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance,uniform,distance
