1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.721807645808146,0.7324800933839163,0.7363988827281445,0.7406511860591154,0.7406928753074582,0.7426939592279151,0.7410680785425439,0.7424855129862009,0.7409013215491724,0.7424021344895152,0.7409013215491724,0.7425272022345437,0.7401509150790011,0.740192604327344,0.7390253053737441,0.7324384041355735
0.001,0.001,0.01,0.01,0.1,0.1,1,1,2,2,5,5,15,15,30,30
hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge
l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2
