1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.7353418290153015,0.7415186161501146,0.7353418290153015,0.7415186161501146,0.7429068334607166,0.7439518959304956,0.7429068334607166,0.7439518959304956,0.7441780661664925,0.7441858651401475,0.7441780661664925,0.7441858651401475,0.7444276333234546,0.744123473350907,0.7444276333234546,0.744123473350907,0.7439440969568405,0.7441156743772519,0.7439440969568405,0.7441156743772519,0.7439908907987709,0.7442638548766982,0.7439908907987709,0.7442638548766982,0.7437491226154638,0.7428600396187862,0.7437491226154638,0.7428600396187862,0.7416278017812856,0.736675453510318,0.7416278017812856,0.736675453510318
0.001,0.001,0.001,0.001,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,1,1,1,1,2,2,2,2,5,5,5,5,15,15,15,15,30,30,30,30
hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge,hinge,squared_hinge
l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2,l2
